id,nombre,categoria,imagen
prod-00261,CLOTRIMAZOL 100MG OVULOS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00260,BUSCAPINA NF,Analgésicos,imagenesmedimentos/buscapnacompositum.jpg
prod-00257,COMPLEJO B AMPOLLAS,Vitaminas,imagenesmedimentos/genericas/vitaminas.svg
prod-00255,CAPTOPRIL 25MG 30 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00254,BISACODILO 5MG SANFER,Otros,imagenesmedimentos/genericas/otros.svg
prod-00252,DICLOFENACO RETARD 100 MG,Antiinflamatorios,imagenesmedimentos/diclofenacogel.png
prod-00242,ALBENDAZOL SUSPESION 20ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00241,ALBENDAZOL 200MG AG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00240,CREMA FORZ,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00239,CHAMPIOJO CIPERMETRINA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00238,CALADRYL LOCION 100ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00234,CURAS LEUKOPLAST PIEL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00231,TOBRADEX GOTAS 5 ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00226,FLEXIMAX ACE 14 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00225,NYTAX SUSPENSION 60 ML  SABOR ,Otros,imagenesmedimentos/genericas/otros.svg
prod-00224,NYTAX 500MG CAPSULAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00221,VICK JARABE MIEL 120 ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00220,VICK DROPS 125 CARAMELOS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00217,BISOLVON JARABE TOS SECA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00216,BISOLVON JARABE PARA NIÑOS 120,Otros,imagenesmedimentos/genericas/otros.svg
prod-00215,PRUEBA DE EMBARAZO CLEAR BLUE ,Otros,imagenesmedimentos/genericas/otros.svg
prod-00214,METARSAL N CAPSULAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00213,METARSAL JARABE 120 ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00211,GELPIN FAST 2 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00210,KRODEX F COMPUESTO SUSPENSION ,Otros,imagenesmedimentos/genericas/otros.svg
prod-00209,KRODEX F COMPUESTO 600MG  20 C,Otros,imagenesmedimentos/genericas/otros.svg
prod-00205,BION 3 - 30 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00201,GESTAVIT DHA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00200,TRIGENTAX CREMA TOPICA 40 G,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00199,KOLA GRANULADA TRADICI 330 G +,Otros,imagenesmedimentos/genericas/otros.svg
prod-00195,FRASCO ORINA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00194,CAJA CROPOLOGICA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00192,MAREOL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00190,STOPEN 2 CAPSULAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00186,TOALLAS NOSOTRAS PLUS CANAGEL ,Otros,imagenesmedimentos/genericas/otros.svg
prod-00178,ANEMIDOX CAPSULAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00173,NOFERTYL 1 AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00172,NEURO 15 FOSFORO NF 20 CAPSULA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00166,CREMA COLGATE LUMINOUS WHITE 9,Cuidado personal,imagenesmedimentos/colgatetripleaccion.jpg
prod-00164,MICROGYNON SUAVE 21 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00163,"MICROGYNON 3, 21 TABLETAS",Otros,imagenesmedimentos/genericas/otros.svg
prod-00162,VOLTAREN 75 MG AMPOLLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00158,ISODINE SOLUCION 120 ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00157,ISODINE BUCOFARINGEO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00156,METROZIN NISTATINA 10 OVULOS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00155,ARTRITES 75MG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00152,YODOPOVIL BUCOFARINGEO 60 ML,Otros,imagenesmedimentos/genericas/otros.svg
