"id","nombre","categoria","imagen_actual","imagen_real"
"prod-00167","CREMA COLGATE SENSITIVE PRO AL","Cuidado personal","imagenesmedimentos/colgatetripleaccion.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00167"
"prod-00169","CREMA COLGATE TOTAL WHITENING","Cuidado personal","imagenesmedimentos/colgatetripleaccion.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00169"
"prod-00585","CREMA DE ARNICA 60G FRESHLY","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00585.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00585"
"prod-00586","CREMA DE CALENDULA 60G FRESHLY","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00586.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00586"
"prod-00595","CREMA DE CALENDULA PILI 30G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00595.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00595"
"prod-00539","CREMA DENTAL PROQUIDENT 95G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00539.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00539"
"prod-00514","CREMA DENTAL VITIS ENCIAS 100M","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00514.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00514"
"prod-00385","CREMA NIVEA CUIDADO FACIL 7 - 100ML","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00385.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00385"
"prod-00382","CREMA NIVEA MILK NUTRITIVA 400","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00382.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00382"
"prod-00757","CREMA PEINAR CAIDA RESIST ELVI","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00757.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00757"
"prod-00188","CREMA PONDS CLARANT B3 45G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00188.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00188"
"prod-00560","CREMA PONDS CLARANT B3 50G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00560.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00560"
"prod-00879","CREMA PONDS NUTRITIVA 200G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00879.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00879"
"prod-00880","CREMA PONDS NUTRITIVA 50G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00880.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00880"
"prod-00189","CREMA PONDS REJUVENESS 50G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00189.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00189"
"prod-00878","CREMA PONDS VERDE PEPINO 50G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00878.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00878"
"prod-00578","CREMA PROTECTORA ARRURRU 25G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00578.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00578"
"prod-00006","DERMASKIN CREMA 20 G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00006.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00006"
"prod-00750","DERMASKIN CREMA 40G","Cuidado personal","imagenesmedimentos/genericas/productos/prod-00750.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00750"
"prod-00344","DESODORANTE BALANCE MEN 30G","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00344"
"prod-00501","DESODORANTE BALANCE MEN 50G","Cuidado personal","imagenesmedimentos/desoderantegillette82gx2.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00501"
